"","normAvgT0Sus","normAvgT0Res","normAvgT2Sus","normAvgT2Res"
"lcl|c122204_g1_i1|m.116",4,0,0,0
"lcl|c145576_g1_i1|m.265",0.939562054464949,1.4435071420331,0.189547112819644,3.03933984546891
"lcl|c169761_g1_i1|m.505",0.879132470341087,1.24782932664468,0.826641165662318,2.60759425454656
"lcl|c201157_g2_i3|m.1183",0.198219078462046,0,4.78293045817136,0.709053005277411
"lcl|c205368_g1_i5|m.1453",0,0,5.04232000712942,1.06814824517995
"lcl|c207917_g13_i1|m.1708",3.49819671802681,0.447433070478917,0,0.210468971999787
"lcl|c208940_g4_i1|m.1863",0.984796608405784,0.691635664750608,0.528707703441005,3.54995438018114
"lcl|c209256_g1_i1|m.1929",2.56551828150118,0.349754357814595,0.836729775665618,0.758688879888367
"lcl|c211368_g3_i1|m.2426",1.04998802893533,1.83351377115118,0.49503208958212,1.96125096750238
"lcl|c212727_g5_i1|m.2822",0.945473224830621,1.08219469264847,0.884472078580626,2.79173288696403
"lcl|c212821_g1_i2|m.2859",1.22237182843105,0.921902934122485,0.39049048877419,3.01717556458804
"lcl|c213147_g4_i1|m.2980",0.981653530691915,1.4584248040003,0.460986566505573,2.64973779230145
"lcl|c213886_g7_i2|m.3271",2.72538613949153,0.272576077393974,1.28231490596196,0.104729001831548
"lcl|c214242_g1_i2|m.3413",1.61476348613989,1.21695664284162,0.464998923615591,1.89646248610882
"lcl|c214652_g1_i3|m.3567",0,0.087391669797444,5.34332198511469,0.573837188733908
"lcl|c214891_g1_i1|m.3715",0.880709352794206,0.884589677458652,0.727777369030636,3.22080776016719
"lcl|c215662_g1_i2|m.4137",0,0.0831725118990865,4.74776683494794,1.2352473291913
"lcl|c216467_g8_i1|m.4596",1.07579880645572,1.94990376986415,0,2.30257752229493
"lcl|c216567_g2_i2|m.4643",0.816370811518953,1.30219279255544,0.80117362896084,2.52938808290199
"lcl|c218374_g1_i3|m.5753",0.340427264790996,1.2019938052418,0.338736859808327,3.89327081613382
"lcl|c219184_g1_i2|m.6256",1.23109554457282,0.190117493724036,3.2320143342583,0.749708744107786
"lcl|c219473_g3_i1|m.6396",1.12901709886464,0.666183983996686,0.310569578263195,3.01710122906663
"lcl|c219759_g3_i3|m.6556",0.477825880451813,2.15616299497085,0.939634764538805,1.95623099478481
"lcl|c221076_g3_i4|m.7373",0.726810091159275,0.471793909693712,3.82939784892395,0.510668727124512
"lcl|c221524_g4_i1|m.7707",0.526298813103906,0.335385586391652,4.4735312536917,0.335841036346459
"lcl|c222306_g8_i4|m.8236",1.23987838168115,0.986471444651806,0.794389069246925,2.40438083836441
"lcl|c222306_g9_i1|m.8237",0.82538193025693,1.22269263825733,0.826877261975486,2.82312494279478
"lcl|c222377_g6_i1|m.8283",1.02150193708126,1.33901113085511,2.17410873773338,0.700069071372088
"lcl|c222521_g8_i1|m.8406",2.91071287097336,0.716049079496764,0.442126206151795,0.209237277766817
"lcl|c222943_g1_i2|m.8726",1.6781163581244,0,2.55709786132326,0.821403511729637
"lcl|c223673_g2_i1|m.9297",1.70927726014793,0.728721196229312,1.86284217676204,0.685983518699215
"lcl|c223775_g7_i2|m.9373",1.44605772278159,0.544753345846715,1.61296517474379,1.69763421362457
"lcl|c224263_g3_i3|m.9691",0.509570696070284,1.04870192069817,1.03656844517198,3.10082095130739
"lcl|c224312_g2_i3|m.9718",1.15252044012153,0.786313478681103,0.729916054913617,2.96284587691314
"lcl|c224848_g3_i5|m.10172",1.22215984552589,1.29518387945409,0.718241465399718,2.13801629947311
"lcl|c225308_g1_i4|m.10503",0.870980423571631,0.160885421058789,0.417371669359213,4.71578190916832
"lcl|c225867_g3_i1|m.11000",0.735244977820147,0.508870050224887,3.56516103262465,0.67638415717481
"lcl|c226115_g1_i8|m.11228",0,0,5.75828444350312,0.206461936450102
"lcl|c226230_g2_i2|m.11305",1.28160455657565,0.867947446699589,0.405206116911418,2.83750099424708
"lcl|c226287_g1_i2|m.11357",0.971382906177189,1.50442871650394,0.556219143740199,2.46590111444691
"lcl|c226971_g4_i9|m.11985",0.751911275483435,0.885902266364604,0.738702930456319,3.23816660477288
"lcl|c227136_g2_i8|m.12192",0.856608762330791,1.3680503893492,0.803733697064279,2.57004328937954
"lcl|c228244_g5_i1|m.13157",1.33120689349687,1.33770174776667,0.618558179349175,2.04342843877207
"lcl|c228309_g1_i6|m.13221",0.185919157746296,0.413646340713575,3.92421707574528,1.45628926017229
"lcl|c229781_g4_i1|m.14624",0,0,5.6917411328666,0.30864795294592
"lcl|c230398_g2_i4|m.15241",3.53648469590865,0.528806412479873,0,0
"lcl|c230398_g2_i8|m.15247",0,4.94469380257088,0,0.074810857543905
"lcl|c230758_g1_i2|m.15597",1.07169189293177,0.461110986663664,3.19605687070958,0.568314990906428
"lcl|c230792_g1_i1|m.15630",1.97772751085888,0.577887955195865,1.30759557676736,1.10184860774388
"lcl|c231085_g3_i1|m.15955",1.25026254294185,2.18548763171892,1.20300397655173,0.328639422486386
"lcl|c231430_g2_i1|m.16231",1.54286670961184,0.817558340239983,0.691403071739667,2.09239615182102
"lcl|c232116_g4_i2|m.17015",1.0956726194998,0.768064952181633,2.83085586151448,0.59692716092576
"lcl|c232137_g2_i1|m.17041",0.738066263312185,1.57030406980942,0.745004812069458,2.59198194537983
"lcl|c232241_g6_i3|m.17173",0.132298675627046,0.714279868773366,3.59158422161279,1.10287421794767
"lcl|c232294_g5_i11|m.17226",0.34969474993549,1.67078884296335,0.399949073848708,3.43339731667029
"lcl|c232521_g1_i4|m.17458",1.07515272853147,0.944780649763389,0.141155049594472,3.51189944806229
"lcl|c233260_g1_i1|m.18321",1.17515717576802,0.0980246629908061,0,4.74947048637187
"lcl|c233495_g1_i1|m.18614",0.460559391099061,1.84845644459566,0.667772760067765,2.65363739813083
"lcl|c233547_g4_i3|m.18699",0.894106335585827,1.26607291342614,0.747085493689569,2.66847019934389
"lcl|c233583_g1_i3|m.18737",1.44760695048781,1.48887033639373,0.368952337074455,1.85444482104834
"lcl|c233766_g4_i1|m.18988",0.568154697855361,0.585149833502771,3.2805965086776,1.35592078516752
"lcl|c233818_g2_i6|m.19032",0.953345804754408,1.20920706712326,0.714541349492576,2.76649642241894
"lcl|c233968_g6_i1|m.19272",0.781941203948458,3.75587865480761,0,0.321929302608575
"lcl|c234643_g1_i1|m.20065",2.09948684625895,0,2.69435539081931,0
"lcl|c234733_g4_i1|m.20188",1.8807880701082,0.737913120781858,1.01814758046112,1.42322129959297
"lcl|c234955_g3_i8|m.20446",1.44208840609502,1.58165532564549,1.4688990661627,0.53212705730193
"lcl|c235126_g4_i1|m.20601",0.895985403929045,1.70268565398474,0.456511696006719,2.48745744342216
"lcl|c235253_g1_i1|m.20757",1.69194905111096,1.15322795938931,0.306427858918725,1.93357909254479
"lcl|c235463_g4_i2|m.20952",0,0,5.5795384186875,0.409474290243384
"lcl|c235959_g6_i1|m.21503",1.34598465837833,1.28812316213485,0.610700839929122,2.04709057892078
"lcl|c236087_g2_i1|m.21666",1.1047518296284,1.67300539433068,0.592348675180446,1.97845278694847
"lcl|c236195_g2_i4|m.21823",0.261088153952701,1.55980470911835,0,3.99775353614203
"lcl|c236655_g1_i2|m.22362",1.36974095839156,1.77961408869716,0.287651222271248,1.72053643029952
"lcl|c237065_g1_i1|m.22858",0.638227174955149,0,3.42456287907615,1.80414019844128
"lcl|c238002_g5_i8|m.23981",1.76362015519582,0,3.24583849203758,0
"lcl|c238111_g1_i1|m.24102",0.956680856999233,0.317477195847038,2.54015868115973,1.81048554723881
"lcl|c238399_g3_i2|m.24483",0.405753518618379,2.82535192001576,1.87782798630117,0
"lcl|c238662_g3_i1|m.24774",0.279156814000658,0.391142114870398,4.26007881070712,0.919885742414831
"lcl|c238733_g2_i2|m.24867",0.606164557421039,2.35820623153158,0.0529110970779115,2.546177864557
"lcl|c238740_g1_i1|m.24872",0,0.310042146103435,5.19944884751339,0.304185360179188
"lcl|c238826_g2_i1|m.24957",1.17355374335213,1.47574296313504,0.511256349438379,2.12583680999182
"lcl|c239007_g1_i1|m.25175",0.870899227543315,0.658344693866662,0.891484806528714,3.39103894429108
"lcl|c239132_g4_i1|m.25330",0.830352807976015,0.374612571317032,3.23842274350224,1.22056131783369
"lcl|c239139_g1_i7|m.25343",0.401462463813248,1.57738088765711,0.273703297448071,3.4328439617306
"lcl|c239376_g2_i9|m.25696",0,5,0,0
"lcl|c239546_g1_i2|m.25957",0.709659660750883,1.46390625334501,0.771022576711343,2.70574763078581
"lcl|c240246_g6_i1|m.26956",0,2.4774330656261,2.10883152471614,0.906977316112325
"lcl|c240264_g4_i5|m.26985",0.82494742589504,0.712492131745788,3.0763669026814,0.808647436257455
"lcl|c240621_g3_i2|m.27488",0.800360524450412,1.41096395055203,0.656743423883519,2.75293889389861
"lcl|c240761_g2_i10|m.27710",0.21321274372624,0.125509650631673,4.09291578607359,1.60747360045083
"lcl|c240794_g1_i2|m.27749",1.48520002360955,0.52288899828426,1.33059224704177,1.79926952867418
"lcl|c240833_g3_i3|m.27779",1.00505411037507,0.803691986023308,0.842177593014551,3.04215467593435
"lcl|c242920_g6_i2|m.30392",0,0,5.47431250363103,0.507945805730027
"lcl|c243397_g1_i1|m.30938",0.769399842834941,0.744132034662017,2.9240736551349,1.15862691476469
"lcl|c243654_g1_i2|m.31195",1.9941824948018,0.484132273382943,1.49959821850316,0.917601469858596
"lcl|c244488_g3_i1|m.32282",0.816232984697861,1.02820902885369,2.50273779589125,0.961334223363238
"lcl|c81884_g1_i1|m.32679",0.336734980996422,2.24539498801057,1.36308618161732,1.62001389982573
